File	BHL Page ID	Instance of	Published In	Published In QID	Collection	Sponsor	Bibliography ID	Illustrator	Engraver	Ref URL for Authors	Inception	Names
Les bois indigènes de São Paulo (Page 251) BHL13035075.jpg	13035075	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 252) BHL13035076.jpg	13035076	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 255) BHL13035079.jpg	13035079	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 257) BHL13035081.jpg	13035081	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 258) BHL13035082.jpg	13035082	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 26) BHL13034837.jpg	13034837	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 261) BHL13035085.jpg	13035085	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 263) BHL13035087.jpg	13035087	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 264) BHL13035088.jpg	13035088	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 266) BHL13035090.jpg	13035090	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 269) BHL13035093.jpg	13035093	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 270) BHL13035094.jpg	13035094	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 277) BHL13035101.jpg	13035101	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 278) BHL13035102.jpg	13035102	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 283) BHL13035107.jpg	13035107	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 285) BHL13035109.jpg	13035109	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 286) BHL13035110.jpg	13035110	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 3) BHL13034814.jpg	13034814	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 301) BHL13035125.jpg	13035125	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 303) BHL13035127.jpg	13035127	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 304) BHL13035128.jpg	13035128	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 305) BHL13035129.jpg	13035129	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 306) BHL13035130.jpg	13035130	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 307) BHL13035131.jpg	13035131	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 308) BHL13035132.jpg	13035132	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 309) BHL13035133.jpg	13035133	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
